t,drone,x,y,z,r_sep,r_nei,k_sep,k_ali,k_coh,k_goal,vmax,amax,altitude,jitter
160.599,0,-3.3106,2.2755,-0.5564,2.060,4.372,4.705,1.066,0.453,0.621,3.975,11.754,1.622,0.364
160.799,0,-3.1751,2.1587,-0.2900,1.676,4.292,4.167,1.067,0.567,0.785,3.907,11.447,1.603,0.346
160.999,0,-3.0183,1.9945,0.0638,1.476,4.252,3.886,1.068,0.626,0.870,3.873,11.291,1.594,0.337
161.199,0,-2.8730,1.7939,0.4760,1.386,4.234,3.760,1.068,0.653,0.908,3.858,11.221,1.589,0.333
161.399,0,-2.7458,1.5776,0.8923,1.345,4.225,3.703,1.068,0.664,0.926,3.851,11.189,1.588,0.331
161.599,0,-2.6118,1.3705,1.2629,1.327,4.222,3.678,1.068,0.670,0.933,3.848,11.175,1.587,0.330
161.799,0,-2.4778,1.1985,1.5563,1.319,4.220,3.666,1.068,0.672,0.937,3.846,11.169,1.586,0.330
161.999,0,-2.3522,1.0833,1.7415,1.315,4.219,3.661,1.068,0.673,0.938,3.846,11.166,1.586,0.329
162.199,0,-2.2426,1.0385,1.7926,1.314,4.219,3.659,1.068,0.674,0.939,3.845,11.165,1.586,0.329
162.399,0,-2.1473,1.0705,1.6966,1.313,4.219,3.658,1.068,0.674,0.939,3.845,11.164,1.586,0.329
162.599,0,-2.0683,1.1745,1.4480,1.315,4.219,3.661,1.068,0.673,0.938,3.845,11.164,1.586,0.329
162.799,0,-2.0062,1.3378,1.0542,1.357,4.219,3.722,1.068,0.662,0.918,3.845,11.164,1.586,0.329
162.999,0,-1.9646,1.5394,0.5382,1.465,4.219,3.877,1.068,0.634,0.867,3.845,11.164,1.586,0.329
163.199,0,-1.9392,1.7543,-0.0687,1.626,4.219,4.109,1.068,0.591,0.790,3.845,11.164,1.586,0.329
163.399,0,-1.9301,1.9587,-0.7358,1.811,4.219,4.376,1.068,0.542,0.702,3.845,11.164,1.586,0.329
163.599,0,-1.9505,2.1345,-1.4337,1.982,4.219,4.623,1.068,0.496,0.621,3.845,11.164,1.586,0.329
163.799,0,-2.0106,2.2692,-2.1167,1.887,4.263,4.469,1.083,0.528,0.692,3.954,11.338,1.602,0.340
163.999,0,-2.1277,2.3466,-2.7011,1.558,4.344,3.968,1.109,0.626,0.896,4.149,11.652,1.632,0.360
164.199,0,-2.3660,2.3622,-3.1665,1.411,4.380,3.742,1.121,0.671,0.987,4.237,11.793,1.645,0.369
164.399,0,-2.7202,2.3002,-3.5083,1.345,4.396,3.641,1.126,0.691,1.028,4.277,11.856,1.651,0.373
164.599,0,-3.1325,2.1587,-3.7071,1.315,4.403,3.595,1.129,0.700,1.047,4.295,11.885,1.654,0.375
164.799,0,-3.5432,1.9499,-3.7440,1.301,4.407,3.575,1.130,0.704,1.055,4.303,11.898,1.655,0.376
164.999,0,-3.8947,1.6972,-3.6125,1.295,4.408,3.566,1.130,0.705,1.059,4.306,11.903,1.655,0.376
165.199,0,-4.1350,1.4321,-3.3232,1.293,4.409,3.562,1.130,0.706,1.061,4.308,11.906,1.656,0.376
165.399,0,-4.2216,1.1870,-2.8985,1.291,4.409,3.560,1.131,0.707,1.061,4.309,11.907,1.656,0.376
165.599,0,-4.1260,0.9937,-2.3770,1.291,4.409,3.559,1.131,0.707,1.062,4.309,11.908,1.656,0.376
165.799,0,-3.8343,0.8763,-1.8074,1.304,4.409,3.577,1.131,0.703,1.055,4.309,11.908,1.656,0.376
165.999,0,-3.3545,0.8488,-1.2391,1.376,4.409,3.676,1.131,0.683,1.017,4.309,11.908,1.656,0.376
166.199,0,-2.7078,0.9118,-0.7269,1.511,4.409,3.864,1.131,0.646,0.945,4.309,11.908,1.656,0.376
166.399,0,-1.9337,1.0521,-0.3103,1.690,4.409,4.111,1.131,0.597,0.850,4.309,11.908,1.656,0.376
166.599,0,-1.0783,1.2467,-0.0097,1.876,4.409,4.369,1.131,0.546,0.751,4.309,11.908,1.656,0.376
166.799,0,-0.1940,1.4714,0.1561,2.031,4.409,4.583,1.131,0.503,0.669,4.309,11.908,1.656,0.376
166.999,0,0.6794,1.7052,0.1822,1.714,4.332,4.163,1.123,0.583,0.828,4.293,11.787,1.654,0.360
167.199,0,1.4962,1.9279,0.0505,1.483,4.281,3.855,1.118,0.642,0.945,4.282,11.706,1.653,0.349
167.399,0,2.2182,2.1206,-0.2455,1.379,4.258,3.717,1.116,0.668,0.997,4.277,11.670,1.652,0.344
167.599,0,2.8137,2.2689,-0.6923,1.332,4.247,3.655,1.115,0.680,1.021,4.275,11.653,1.652,0.342
167.799,0,3.2566,2.3616,-1.2665,1.311,4.242,3.627,1.114,0.685,1.031,4.274,11.646,1.652,0.341
167.999,0,3.5275,2.3938,-1.9357,1.302,4.240,3.614,1.114,0.688,1.036,4.274,11.643,1.652,0.340
168.199,0,3.6087,2.3631,-2.6680,1.298,4.239,3.609,1.114,0.689,1.038,4.273,11.641,1.652,0.340
168.399,0,3.4886,2.2716,-3.4226,1.296,4.239,3.606,1.114,0.689,1.039,4.273,11.641,1.652,0.340
168.599,0,3.1679,2.1278,-4.1554,1.295,4.239,3.605,1.114,0.689,1.040,4.273,11.640,1.652,0.340
168.799,0,2.6539,1.9432,-4.8198,1.296,4.239,3.606,1.114,0.689,1.039,4.273,11.640,1.652,0.340
168.999,0,1.9677,1.7350,-5.0000,1.331,4.239,3.656,1.114,0.680,1.021,4.273,11.640,1.652,0.340
169.199,0,1.1428,1.5233,-5.0000,1.432,4.239,3.797,1.114,0.653,0.968,4.273,11.640,1.652,0.340
169.399,0,0.2248,1.3308,-5.0000,1.590,4.239,4.019,1.114,0.610,0.886,4.273,11.640,1.652,0.340
169.599,0,-0.7262,1.1759,-4.9987,1.777,4.239,4.280,1.114,0.560,0.789,4.273,11.640,1.652,0.340
169.799,0,-1.6571,1.0642,-4.9060,1.954,4.239,4.529,1.114,0.513,0.697,4.273,11.640,1.652,0.340
169.999,0,-2.5375,0.9928,-4.6871,1.975,4.233,4.563,1.098,0.495,0.673,4.192,11.577,1.641,0.338
170.199,0,-3.3197,0.9607,-4.3812,1.623,4.213,4.090,1.037,0.543,0.805,3.879,11.335,1.598,0.329
170.399,0,-3.9760,0.9760,-3.9861,1.465,4.203,3.877,1.010,0.565,0.865,3.738,11.226,1.579,0.325
170.599,0,-4.4883,1.0282,-3.4975,1.394,4.199,3.782,0.997,0.575,0.891,3.675,11.177,1.570,0.324
170.799,0,-4.8349,1.1078,-2.9400,1.362,4.197,3.739,0.992,0.579,0.903,3.646,11.155,1.566,0.323
170.999,0,-5.0000,1.2075,-2.3350,1.348,4.196,3.720,0.989,0.581,0.909,3.633,11.145,1.564,0.323
171.199,0,-4.9736,1.3231,-1.6964,1.342,4.196,3.711,0.988,0.582,0.911,3.628,11.141,1.564,0.322
171.399,0,-4.7802,1.4493,-1.0450,1.339,4.196,3.707,0.988,0.582,0.912,3.625,11.139,1.563,0.322
171.599,0,-4.4011,1.5812,-0.3909,1.337,4.196,3.705,0.987,0.582,0.913,3.624,11.138,1.563,0.322
171.799,0,-3.8370,1.7134,0.2498,1.337,4.196,3.704,0.987,0.582,0.913,3.623,11.138,1.563,0.322
171.999,0,-3.0899,1.8407,0.8617,1.344,4.196,3.715,0.987,0.581,0.910,3.623,11.138,1.563,0.322
172.199,0,-2.1684,1.9569,1.4224,1.399,4.196,3.798,0.987,0.568,0.883,3.623,11.137,1.563,0.322
172.399,0,-1.0884,2.0572,1.9095,1.517,4.196,3.975,0.987,0.540,0.827,3.623,11.137,1.563,0.322
172.599,0,0.1258,2.1352,2.3035,1.681,4.196,4.221,0.987,0.501,0.749,3.623,11.137,1.563,0.322
172.799,0,1.4355,2.1864,2.5898,1.860,4.196,4.490,0.987,0.459,0.664,3.623,11.137,1.563,0.322
172.999,0,2.8012,2.2090,2.7563,2.018,4.196,4.728,0.987,0.421,0.589,3.623,11.137,1.563,0.322
173.199,0,4.1768,2.2042,2.8027,1.819,4.224,4.411,1.030,0.502,0.720,3.839,11.316,1.592,0.331
173.398,0,5.0000,2.1723,2.7036,1.529,4.255,3.959,1.077,0.607,0.898,4.081,11.517,1.624,0.341
173.598,0,5.0000,2.1080,2.4377,1.399,4.269,3.755,1.098,0.655,0.979,4.190,11.607,1.638,0.345
173.798,0,5.0000,2.0104,2.0056,1.341,4.275,3.664,1.108,0.676,1.015,4.239,11.647,1.645,0.347
173.998,0,5.0000,1.8823,1.4065,1.315,4.278,3.623,1.112,0.686,1.031,4.261,11.666,1.647,0.348
174.198,0,5.0000,1.7305,0.6416,1.303,4.279,3.604,1.114,0.690,1.038,4.270,11.674,1.649,0.348
174.398,0,5.0000,1.5647,-0.2754,1.298,4.280,3.596,1.115,0.692,1.041,4.275,11.677,1.649,0.349
174.598,0,5.0000,1.3999,-1.3162,1.295,4.280,3.592,1.116,0.693,1.043,4.277,11.679,1.650,0.349
174.798,0,5.0000,1.2566,-2.4177,1.294,4.280,3.591,1.116,0.693,1.043,4.278,11.680,1.650,0.349
174.998,0,5.0000,1.1528,-3.4915,1.294,4.280,3.590,1.116,0.693,1.044,4.278,11.680,1.650,0.349
175.198,0,4.9965,1.0956,-4.4685,1.316,4.280,3.621,1.116,0.687,1.032,4.278,11.680,1.650,0.349
175.398,0,4.8922,1.0830,-5.0000,1.401,4.280,3.740,1.116,0.664,0.988,4.278,11.680,1.650,0.349
175.598,0,4.6645,1.1113,-5.0000,1.548,4.280,3.944,1.116,0.625,0.911,4.278,11.680,1.650,0.349
175.798,0,4.3324,1.1760,-5.0000,1.731,4.280,4.200,1.116,0.576,0.816,4.278,11.680,1.650,0.349
175.998,0,3.9186,1.2724,-5.0000,1.914,4.280,4.456,1.116,0.526,0.720,4.279,11.680,1.650,0.349
176.198,0,3.4465,1.3914,-5.0000,2.057,4.280,4.656,1.116,0.487,0.645,4.279,11.680,1.650,0.349
176.398,0,2.9219,1.5336,-5.0000,1.447,4.909,3.687,1.730,1.095,1.455,7.047,15.071,2.097,0.516
176.598,0,2.3439,1.7239,-4.8352,1.173,5.191,3.252,2.005,1.369,1.819,8.291,16.595,2.298,0.591
176.798,0,1.7309,1.9752,-4.3081,1.050,5.318,3.057,2.129,1.491,1.983,8.850,17.280,2.388,0.625
176.998,0,1.1558,2.2813,-3.3848,0.995,5.375,2.969,2.185,1.547,2.056,9.101,17.588,2.429,0.640
177.198,0,0.6084,2.5990,-2.0424,0.970,5.401,2.929,2.210,1.571,2.089,9.214,17.726,2.447,0.647
177.398,0,0.1771,2.9036,-0.3173,0.959,5.412,2.912,2.221,1.582,2.104,9.265,17.788,2.455,0.650
177.598,0,0.0879,3.1267,1.5608,0.954,5.417,2.904,2.226,1.587,2.111,9.288,17.816,2.459,0.651
177.798,0,0.3927,3.2307,3.3391,0.952,5.420,2.900,2.229,1.590,2.114,9.298,17.828,2.460,0.652
177.998,0,1.0300,3.2178,4.8783,0.951,5.421,2.898,2.230,1.591,2.115,9.302,17.834,2.461,0.652
178.198,0,1.9338,3.0979,5.0000,0.954,5.421,2.902,2.230,1.589,2.112,9.304,17.836,2.461,0.652
178.398,0,3.0497,2.8743,5.0000,1.001,5.421,2.955,2.230,1.560,2.062,9.305,17.838,2.461,0.652
178.598,0,4.2941,2.5680,5.0000,1.115,5.421,3.084,2.230,1.489,1.941,9.306,17.838,2.462,0.652
178.798,0,5.0000,2.2226,4.9881,1.282,5.421,3.271,2.231,1.386,1.765,9.306,17.838,2.462,0.652
178.998,0,5.0000,1.8923,4.7288,1.470,5.421,3.483,2.231,1.270,1.566,9.306,17.838,2.462,0.652
179.198,0,5.0000,1.6279,4.1738,1.641,5.421,3.676,2.231,1.164,1.385,9.306,17.839,2.462,0.652
179.398,0,5.0000,1.4742,3.3984,1.497,5.445,3.506,2.235,1.256,1.542,9.329,17.884,2.464,0.658
179.598,0,5.0000,1.4805,2.5118,1.193,5.477,3.152,2.242,1.450,1.871,9.361,17.946,2.468,0.665
179.798,0,5.0000,1.6546,1.6501,1.056,5.492,2.993,2.245,1.537,2.019,9.375,17.974,2.469,0.668
179.998,0,4.9257,1.9594,0.9028,0.994,5.498,2.921,2.246,1.576,2.085,9.382,17.987,2.470,0.670
180.198,0,4.4973,2.3483,0.3310,0.967,5.501,2.889,2.247,1.593,2.115,9.385,17.993,2.470,0.670
180.398,0,3.6948,2.7703,-0.0234,0.954,5.502,2.875,2.247,1.601,2.128,9.386,17.995,2.470,0.670
180.598,0,2.5443,3.1682,-0.1211,0.949,5.503,2.868,2.247,1.605,2.134,9.387,17.996,2.470,0.671
180.798,0,1.0981,3.4790,0.0889,0.946,5.503,2.865,2.247,1.606,2.137,9.387,17.997,2.470,0.671
180.998,0,-0.5536,3.6303,0.6437,0.945,5.503,2.864,2.248,1.607,2.138,9.387,17.997,2.470,0.671
181.198,0,-2.2381,3.5572,1.5556,0.945,5.503,2.863,2.248,1.607,2.139,9.387,17.997,2.470,0.671
181.398,0,-3.7053,3.2585,2.7441,0.961,5.504,2.882,2.248,1.597,2.121,9.387,17.997,2.470,0.671
181.598,0,-4.7851,2.8188,4.0374,1.038,5.504,2.967,2.248,1.549,2.039,9.387,17.997,2.470,0.671
181.798,0,-5.0000,2.3328,5.0000,1.178,5.504,3.123,2.248,1.461,1.889,9.387,17.997,2.470,0.671
181.998,0,-5.0000,1.8637,5.0000,1.358,5.504,3.324,2.248,1.349,1.696,9.387,17.997,2.470,0.671
182.198,0,-4.9578,1.4538,5.0000,1.544,5.504,3.531,2.248,1.233,1.498,9.387,17.997,2.470,0.671
182.398,0,-4.6694,1.1275,5.0000,1.694,5.504,3.698,2.248,1.139,1.337,9.387,17.997,2.470,0.671
182.598,0,-4.1219,0.9052,5.0000,1.338,5.539,3.291,2.251,1.365,1.721,9.397,18.038,2.470,0.678
182.798,0,-3.2875,0.8335,5.0000,1.119,5.559,3.042,2.252,1.503,1.956,9.402,18.061,2.470,0.682
182.998,0,-2.1592,0.9528,5.0000,1.021,5.569,2.930,2.253,1.565,2.062,9.405,18.072,2.470,0.684
183.198,0,-0.7809,1.2813,5.0000,0.977,5.573,2.880,2.253,1.593,2.109,9.406,18.076,2.470,0.685
183.398,0,0.7328,1.7992,4.8695,0.958,5.575,2.857,2.254,1.606,2.131,9.406,18.079,2.470,0.686
183.598,0,2.2018,2.4280,4.3364,0.949,5.575,2.847,2.254,1.612,2.140,9.406,18.079,2.470,0.686
183.798,0,3.4367,3.0502,3.4460,0.945,5.576,2.843,2.254,1.614,2.144,9.406,18.080,2.470,0.686
183.998,0,4.3183,3.5689,2.3280,0.943,5.576,2.840,2.254,1.615,2.146,9.406,18.080,2.470,0.686
184.198,0,4.8014,3.9337,1.1043,0.942,5.576,2.840,2.254,1.616,2.147,9.407,18.080,2.470,0.686
184.398,0,4.8791,4.1298,-0.1120,0.943,5.576,2.841,2.254,1.615,2.146,9.407,18.080,2.470,0.686
184.598,0,4.5654,4.1587,-1.2346,0.978,5.576,2.879,2.254,1.593,2.108,9.407,18.080,2.470,0.686
184.798,0,3.8820,4.0344,-2.1975,1.079,5.576,2.990,2.254,1.530,2.001,9.407,18.080,2.470,0.686
184.998,0,2.8739,3.7832,-2.9507,1.235,5.576,3.163,2.254,1.431,1.832,9.407,18.080,2.470,0.686
185.198,0,1.6001,3.4366,-3.4595,1.421,5.576,3.368,2.254,1.315,1.633,9.407,18.080,2.470,0.686
185.398,0,0.1240,3.0293,-3.7038,1.598,5.576,3.564,2.254,1.203,1.443,9.407,18.080,2.470,0.686
185.598,0,-1.4852,2.5952,-3.6846,1.614,5.573,3.582,2.254,1.193,1.425,9.408,18.078,2.470,0.685
185.798,0,-3.1791,2.1659,-3.3702,1.244,5.560,3.176,2.255,1.427,1.823,9.412,18.070,2.471,0.683
185.998,0,-4.8872,1.7773,-2.6842,1.077,5.555,2.994,2.256,1.532,2.002,9.414,18.066,2.472,0.682
186.198,0,-5.0000,1.4704,-1.5946,1.002,5.552,2.912,2.256,1.579,2.082,9.415,18.064,2.472,0.681
186.398,0,-5.0000,1.2979,-0.1096,0.969,5.551,2.875,2.256,1.600,2.118,9.416,18.063,2.472,0.681
186.598,0,-5.0000,1.3326,1.7227,0.954,5.550,2.858,2.256,1.610,2.134,9.416,18.063,2.472,0.681
186.798,0,-5.0000,1.6369,3.7239,0.947,5.550,2.851,2.256,1.614,2.142,9.416,18.063,2.472,0.681
186.998,0,-5.0000,2.1329,5.0000,0.944,5.550,2.847,2.256,1.616,2.145,9.416,18.063,2.472,0.681
187.198,0,-5.0000,2.6772,5.0000,0.943,5.550,2.846,2.256,1.617,2.146,9.416,18.063,2.472,0.681
187.398,0,-5.0000,3.1620,5.0000,0.942,5.550,2.845,2.256,1.617,2.147,9.416,18.063,2.472,0.681
187.598,0,-5.0000,3.5123,5.0000,0.950,5.550,2.854,2.256,1.612,2.138,9.416,18.063,2.472,0.681
187.798,0,-4.9800,3.6902,5.0000,1.011,5.550,2.921,2.256,1.574,2.073,9.416,18.063,2.472,0.681
187.998,0,-4.8282,3.6939,4.9621,1.137,5.550,3.061,2.256,1.494,1.938,9.416,18.063,2.472,0.681
188.198,0,-4.5459,3.5441,4.6369,1.310,5.550,3.253,2.256,1.385,1.751,9.416,18.063,2.472,0.681
188.398,0,-4.1559,3.2683,3.9952,1.498,5.550,3.461,2.256,1.267,1.550,9.416,18.063,2.472,0.681
188.598,0,-3.6757,2.9019,3.0629,1.661,5.550,3.641,2.256,1.165,1.375,9.416,18.063,2.472,0.681
188.798,0,-3.1285,2.4811,1.8732,1.442,5.500,3.445,2.209,1.272,1.568,9.121,17.847,2.440,0.666
188.998,0,-2.4827,2.0569,0.4311,1.193,5.454,3.213,2.165,1.401,1.797,8.847,17.648,2.410,0.653
189.198,0,-2.0045,1.6936,-1.1533,1.081,5.434,3.108,2.146,1.459,1.900,8.724,17.559,2.396,0.647
189.398,0,-1.7356,1.5025,-2.5364,1.031,5.425,3.061,2.137,1.485,1.946,8.669,17.519,2.390,0.644
189.598,0,-1.6242,1.4999,-3.6124,1.008,5.420,3.040,2.133,1.497,1.967,8.644,17.501,2.387,0.643
189.798,0,-1.6514,1.6530,-4.3469,0.998,5.418,3.031,2.131,1.502,1.976,8.633,17.492,2.386,0.642
189.998,0,-1.8107,1.9244,-4.7173,0.994,5.418,3.026,2.130,1.504,1.980,8.628,17.489,2.385,0.642
190.198,0,-2.0860,2.2702,-4.7160,0.992,5.417,3.024,2.130,1.506,1.982,8.626,17.487,2.385,0.642
190.398,0,-2.4611,2.6411,-4.3317,0.991,5.417,3.024,2.130,1.506,1.983,8.625,17.486,2.385,0.642
190.598,0,-2.9128,2.9769,-3.5512,0.990,5.417,3.023,2.130,1.506,1.983,8.624,17.486,2.385,0.642
190.798,0,-3.3910,3.1979,-2.3866,1.006,5.417,3.042,2.130,1.497,1.968,8.624,17.486,2.385,0.642
190.998,0,-3.8309,3.2191,-0.9144,1.079,5.417,3.128,2.130,1.454,1.895,8.624,17.486,2.385,0.642
191.198,0,-4.1303,3.0288,0.6547,1.214,5.417,3.286,2.130,1.375,1.761,8.624,17.486,2.385,0.642
191.398,0,-4.2104,2.6783,2.0687,1.389,5.417,3.493,2.130,1.272,1.587,8.624,17.486,2.385,0.642
191.598,0,-4.1112,2.2630,3.2262,1.573,5.417,3.708,2.130,1.165,1.405,8.624,17.486,2.385,0.642
191.798,0,-3.8770,1.8424,4.1341,1.727,5.417,3.889,2.130,1.075,1.253,8.624,17.486,2.385,0.642
