condition,segment_idx,start_s,end_s,dominant_anchor,phrase_index,section_index,section_role,motion_mode,height_level,speed_level,vertical_trend,transition_style,weight_happy,weight_sad,weight_sleepy,weight_brave,weight_grumpy,weight_scared,weight_shy,mean_speed,max_speed,mean_accel,mean_jerk,mean_altitude,altitude_range,swarm_spread,min_pairwise_dist,boundary_margin,centroid_path_length,heading_change,formation_change,z_mean_speed,z_max_speed,z_mean_accel,z_mean_jerk,z_mean_altitude,z_altitude_range,z_swarm_spread,z_min_pairwise_dist,z_boundary_margin,z_centroid_path_length,z_heading_change,z_formation_change
clairedelune.mp3,0,1.9272562358276644,5.340589569160998,grumpy,0,0,buildup,advance,0.3,0.5,rise,smooth,0.003495369423428869,0.24076012578914238,0.1189296539092561,0.002474776975364922,0.537026055230843,0.33135714095003077,0.0011221200269594756,0.3826540235165404,0.9122222262146434,1.0636841319194137,4.626926431255706,0.8376317647058822,0.5605000000000001,0.7069020588447437,0.6857481388964902,-0.0035000000000000586,1.0724328363764917,0.33118243176631185,0.17235414321482712,-0.48879257749698174,0.019850668752982106,-0.8120221646318176,-1.1264557066502288,1.7908235571206588,1.0705495843948345,0.5144007679697383,1.7598814491319354,-0.47017220524240744,-0.9111436557455076,-0.8219864541296634,0.8750478390045836
clairedelune.mp3,1,5.340589569160998,9.05578231292517,grumpy,1,0,buildup,advance,0.4,0.6,hold,smooth,0.05546099933946803,0.1601227835414548,0.1189296539092561,0.010223835449027965,0.5462878025179587,0.33091743050507766,0.007418016940904234,0.39165611318588905,0.8735554075157453,1.091425882649203,5.80698800930238,0.775844210526316,0.5749000000000001,0.7085714316915462,0.5134320013400022,0.020399999999999974,1.3190738274082514,0.36362436272860527,0.14035295923563432,-0.38935816744624274,-0.18562242265796622,-0.7343961568198162,-0.5455031217016273,0.3133929673308034,1.2039891926480146,0.529821955251936,0.1464459036931169,0.0776153983836883,-0.16414771357468838,-0.5306588229560114,0.10545899658372593
clairedelune.mp3,2,9.05578231292517,12.747755102040816,grumpy,2,0,buildup,advance,0.5,0.7,hold,smooth,0.0181795309000076,0.18135423825199146,0.1189296539092561,0.02639924462645138,0.537026055230843,0.33103320431579053,0.011516390317868889,0.43340947790054013,0.8156719561196155,1.1268013103906926,5.885113766884642,0.78297,0.4855999999999999,0.6915626435163631,0.5833688198729857,0.03420000000000001,1.3959058299121527,0.3581923264840968,0.14342617474331237,0.07183710393290335,-0.4932115158418102,-0.6354098579030341,-0.5070412637250195,0.48378099263161745,0.3764782886890541,0.3726996512710639,0.8012803873120967,0.39391116951507454,0.06855161940797073,-0.5794383562520219,0.17936602348003022
clairedelune.mp3,3,12.747755102040816,16.300408163265306,grumpy,3,1,peak,advance,0.6,0.8,rise,surge,0.008071393504778998,0.23358993598938782,0.1189296539092561,0.0034440116121798284,0.537026055230843,0.3313180423480758,0.0018220471423991092,0.2797926787825052,1.0663058379283121,1.2549202254700929,5.023645978180438,0.7274066666666666,0.4055000000000001,0.585742636165208,0.4310930410015917,0.009200000000000097,0.8328097174272776,0.5187870606283262,0.14152185392728153,-1.624968455135678,0.8386414847523843,-0.2769119390193748,-0.9311478934197861,-0.8448193934394258,-0.3657795322192604,-0.6048352084166854,-0.624512680153499,-0.17908841586786803,-1.6368847288598671,0.8626978572667967,0.1335694662851459
clairedelune.mp3,4,16.300408163265306,19.59764172335601,grumpy,4,1,peak,hold,0.6,0.7,hold,surge,0.010202623071133928,0.20220895005339382,0.1189296539092561,0.018064027586310625,0.537026055230843,0.3311469237706976,0.0076958760920981676,0.26730348932160586,0.621032213335186,1.0482510849108153,5.692384813912059,0.744215,0.42010000000000003,0.47025640205374425,0.38737152708995015,0.057700000000000085,0.8045233086304123,0.4718028575489292,0.09035877284334834,-1.7629203342737896,-1.5275151127521054,-0.8552063832242665,-0.6019230779513536,-0.44290761428271463,-0.2304865960736752,-1.67166389690273,-1.0338872497425806,0.9325307797750443,-1.7225551297995165,0.4407810298864665,-1.096839270206291
clairedelune.mp3,5,19.59764172335601,23.289614512471655,grumpy,5,1,peak,hold,0.5,0.6,fall,snap,0.008876273661847503,0.1661113062476027,0.1189296539092561,0.04826060488484107,0.537026055230843,0.33095008554938266,0.019418619770775605,0.3159341337409447,0.6213301940192509,1.0742172891680333,6.041209232848881,0.7738684210526318,0.5398,0.5934585088463412,0.43689708170231584,0.06910000000000005,1.1229875224531658,0.5060386908192647,0.05262827962801124,-1.225760672924395,-1.5259316617624505,-0.7825486481681148,-0.4301943718867238,0.26614895765658153,0.8787301475308861,-0.5335581908892648,-0.5701681149461216,1.1938185907096661,-0.7580298314820771,0.7482178535297732,-2.0042109042195566
clairedelune.mp3,6,23.289614512471655,26.842267573696144,grumpy,6,1,release,retreat,0.4,0.5,fall,drift,0.0032212296056593377,0.24392489006716503,0.1189296539092561,0.00014073611786931454,0.537026055230843,0.33137439821409814,0.00011284802152226248,0.35020328046462884,0.9058436564882486,1.0348781942015883,5.335151026241471,0.7345988888888889,0.4492999999999999,0.6893495947370205,0.4653924472958279,0.039000000000000146,1.1674254398196715,0.32497269050039473,0.1115444316983356,-0.8472338516448764,-0.014044657642203922,-0.8926259436829651,-0.7777917751779314,-0.6728428641727651,0.04009927621749517,0.35225614174816283,-0.303359466720849,0.503927089908603,-0.6234417250507847,-0.8777497567303486,-0.5873504123960965
clairedelune.mp3,7,26.842267573696144,30.278820861678003,grumpy,7,2,release,retreat,0.3,0.4,fall,drift,0.0031358921457992394,0.21121342108214441,0.1189296539092561,0.01007409613669799,0.5456664257917365,0.3311960245948599,0.003724395440038402,0.319149218123618,1.1040389531171444,1.0659859587426852,4.358957235779975,0.7269741176470588,0.5639000000000001,0.42299749539075177,0.37334105051547717,0.04049999999999998,0.8912864236864859,0.5761150495735802,0.10451258965569676,-1.1902478052906742,1.0391529332578626,-0.8055812723930563,-1.2583788195575327,-0.8551622717364864,1.1020561585657238,-2.1082281142959785,-1.165257822143442,0.5383070650315759,-1.4597776628186077,1.3775015919391138,-0.7564575048461566
clairedelune.mp3,8,30.278820861678003,33.80825396825397,grumpy,8,2,buildup,advance,0.3,0.5,rise,smooth,0.0028930633042260874,0.24234940765741234,0.1189296539092561,0.0018772944087362923,0.537026055230843,0.3313658072058618,0.0008461010996289794,0.37719668769913267,0.9093457153360321,1.089380665838422,5.890642230601144,0.7655000000000001,0.5019,0.6351625192435842,0.3753448814090849,0.052200000000000024,1.2188652807263105,0.4011994955438643,0.1932103860458643,-0.5490726888249512,0.0045650672322568205,-0.7401190117930764,-0.5043195622929527,0.06604779787498403,0.5275245119200855,-0.14830851105506265,-1.146495493573169,0.8064708709907951,-0.4676470525495545,-0.1932351829504932,1.3766146494082994
clairedelune.mp3,9,33.80825396825397,37.50022675736962,grumpy,9,2,stable,hold,0.4,0.4,hold,drift,0.008561993119977698,0.18183518476454447,0.1189296539092561,0.03521334806391504,0.537026055230843,0.33103582688740735,0.014291681490642295,0.38714942468953484,0.8953059086144802,1.1269503726937131,6.427336414068615,0.7716611111111111,0.4938,0.7532401616077677,0.6206412006948943,0.009500000000000064,1.297823804391429,0.40293098109685804,0.10878945732221652,-0.43913771068310276,-0.07004160036958788,-0.6349927569200626,-0.24010125452598777,0.2133689557281619,0.4524647322776716,0.9424588631873515,1.150270243595787,-0.17221242084327346,-0.22850717344467744,-0.1776864911925533,-0.6536041342082382
clairedelune.mp3,10,37.50022675736962,41.16897959183674,grumpy,10,2,peak,advance,0.5,0.6,rise,surge,0.014856077420141224,0.058660149171287014,0.1189296539092561,0.12268768992868692,0.537026055230843,0.3303641610289089,0.04896277917645314,0.46036932466828306,1.0582602090223368,1.1567482138222003,5.841978029485728,0.7836644444444445,0.47109999999999996,0.6923935562371247,0.4856430891096876,0.037900000000000045,1.5866602811209316,0.34079378663529003,0.11050999744020965,0.36962756780003325,0.7958875086228933,-0.5516134680370104,-0.5282772895492345,0.5003861727322914,0.24211201648967143,0.3803753845301547,-0.11374805954942185,0.47871510815175117,0.6462852735256298,-0.7356767566704338,-0.612227275195587
clairedelune.mp3,11,41.16897959183674,44.698412698412696,grumpy,11,3,release,retreat,0.4,0.5,fall,smooth,0.012247640336517679,0.16021200824545734,0.1189296539092561,0.050650639067870804,0.537026055230843,0.3309179170418757,0.020589532158861102,0.42718107985998427,0.9218856219727043,1.2593549913296815,6.408895083161617,0.7166755555555555,0.27259999999999995,0.6103809934419417,0.3994003129693316,0.014399999999999968,1.4805550871674313,0.33167231185436147,0.132918025344959,0.003040068192127438,0.07120135822650717,-0.26450273050856626,-0.24918005097154855,-1.1014159204991205,-1.5973159167225723,-0.3772331346091785,-0.9212589667420727,-0.059904502108218516,0.3249268934974447,-0.8175873446630748,-0.07334195559731736
clairedelune.mp3,12,44.698412698412696,48.39038548752834,grumpy,12,3,stable,hold,0.3,0.4,hold,drift,0.013982836106269929,0.17509836578008312,0.1189296539092561,0.04132728954246,0.537026055230843,0.33099909142973155,0.017060967015783995,0.4146838500706522,1.0193222356056009,1.144694169531606,6.0872163300271644,0.7540233333333335,0.5000000000000001,0.6940944418461125,0.3870032170408923,0.043500000000000094,1.3045505908590962,0.3485663863190794,0.15191930798764128,-0.1350006220269316,0.5889735177534544,-0.5853426780418829,-0.40754475552013775,-0.20837605054079142,0.5099178969422362,0.39608767766588737,-1.0373358212653576,0.6070670152775319,-0.20813390874858342,-0.6658790292610739,0.3836153595758147
