# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
39.359600,-0.000100,0.000000,0.000000,-0.298191,0.045819,-0.002337,0.000050,-0.000000,-0.000100,0.000000,0.000000,-0.298193,0.045818,-0.002337,0.000050,-0.000000,-0.000100,0.000000,0.000000,-0.298165,0.045816,-0.002337,0.000050,-0.000000,-0.000880,0.000000,0.000000,-2.694055,0.404633,-0.020407,0.000430,-0.000003
39.359600,-0.000001,-0.003962,0.000334,-0.610559,0.077783,-0.003564,0.000071,-0.000001,-0.000001,-0.003962,0.000332,-0.610529,0.077781,-0.003564,0.000071,-0.000001,-0.000001,-0.003962,0.000337,-0.610555,0.077783,-0.003564,0.000071,-0.000001,0.000046,-0.033638,0.017410,-5.147445,0.652592,-0.029807,0.000588,-0.000004
39.359600,-0.000002,-0.004016,0.000244,-0.619232,0.078952,-0.003619,0.000072,-0.000001,-0.000002,-0.004016,0.000244,-0.619269,0.078955,-0.003620,0.000072,-0.000001,-0.000001,-0.004016,0.000251,-0.619250,0.078953,-0.003619,0.000072,-0.000001,-0.000013,-0.033070,0.002213,-5.099356,0.649320,-0.029741,0.000588,-0.000004
39.359600,-0.000002,-0.004084,0.000134,-0.630537,0.064054,-0.002439,0.000041,-0.000000,-0.000002,-0.004084,0.000136,-0.630504,0.064061,-0.002440,0.000041,-0.000000,-0.000002,-0.004084,0.000139,-0.630517,0.064037,-0.002438,0.000041,-0.000000,-0.000017,-0.033645,0.001985,-5.159096,1.343331,-0.082391,0.001924,-0.000016
39.359600,0.001537,-0.000815,0.057308,0.008304,-0.767149,-187.388914,7.935899,-0.086415,-0.000812,-0.000814,0.057558,0.007955,-0.760982,-187.304418,7.932313,-0.086375,-0.000095,-0.000572,0.057588,0.008926,-0.752466,-187.197040,7.927756,-0.086326,31.989384,0.005620,0.611069,-32.140732,31.304315,-189.681423,7.992624,-0.086888
