0,0.000,-0.1243,-0.0000,1.4995,-0.5576,-0.0023,-0.0320,-1.7445,-0.1403,-1.9171
1,0.000,0.1238,0.0001,1.4995,0.5259,0.0051,-0.0327,1.5545,0.3003,-2.0297
0,0.200,-0.3279,-0.0001,1.4494,-0.9781,0.0050,-0.4260,0.5133,0.1265,-1.8257
1,0.200,0.3258,0.0036,1.4465,0.9671,0.0237,-0.4424,-0.4647,-0.0153,-1.8455
0,0.400,-0.5053,-0.0016,1.3257,-0.7899,-0.0211,-0.7617,0.8726,-0.2440,-1.6262
1,0.400,0.5025,0.0097,1.3207,0.7848,0.0342,-0.7664,-0.9793,0.1807,-1.5620
0,0.600,-0.6307,-0.0091,1.1471,-0.4733,-0.0502,-0.9889,1.5685,-0.2587,-1.1272
1,0.600,0.6264,0.0199,1.1412,0.4714,0.0669,-0.9888,-1.6464,-0.0436,-0.9443
0,0.800,-0.6847,-0.0230,0.9371,-0.0869,-0.0870,-1.0710,2.0989,0.0083,0.0844
1,0.800,0.6805,0.0371,0.9321,0.0949,0.1021,-1.0576,-1.8621,-0.0056,0.2699
0,1.000,-0.6616,-0.0411,0.7362,0.2724,-0.0955,-0.9186,1.6358,-0.0725,1.1921
1,1.000,0.6597,0.0580,0.7343,-0.2631,0.1009,-0.9046,-1.6564,-0.1362,1.1208
0,1.200,-0.5762,-0.0604,0.5828,0.5424,-0.0915,-0.5966,1.2358,0.1814,1.5556
1,1.200,0.5745,0.0773,0.5828,-0.5567,0.0877,-0.5885,-1.3337,-0.1988,1.5869
0,1.400,-0.4459,-0.0783,0.5432,0.7373,-0.0826,0.1049,0.8566,0.1508,1.8040
1,1.400,0.4396,0.0924,0.5444,-0.7660,0.0702,0.1031,-0.9141,0.0448,1.7979
0,1.600,-0.2787,-0.0919,0.6032,0.9073,-0.0592,0.4681,0.7919,0.3074,1.8668
1,1.600,0.2918,0.1062,0.5957,0.4723,0.1640,-0.0062,-0.7741,-0.1629,1.8696
0,1.800,-0.3201,-0.1158,0.6416,-0.1955,-0.1014,0.2858,1.2131,0.1304,1.3098
1,1.800,0.3477,0.1270,0.6294,0.1590,0.0716,0.2938,-1.1263,-0.1928,1.2763
0,2.000,-0.3328,-0.1308,0.7239,0.0615,-0.0487,0.5038,1.4642,0.2576,0.8709
1,2.000,0.3512,0.1353,0.7123,-0.1085,0.0151,0.5033,-1.4664,-0.2676,0.8633
0,2.200,-0.2868,-0.1322,0.8363,0.3723,0.0393,0.5842,1.2026,0.8844,0.2646
1,2.200,0.2953,0.1293,0.8241,-0.4257,-0.0744,0.5829,-1.3572,-0.7884,0.4697
0,2.400,-0.2036,-0.1213,0.9372,0.2991,0.0025,0.3588,2.3707,1.5006,-1.7653
1,2.400,0.3120,0.1413,0.8608,0.0822,0.0049,0.1022,-2.8216,-1.6501,0.5513
0,2.600,-0.1647,-0.1361,0.9856,0.1958,-0.1063,0.1217,0.4811,-0.0822,-1.4313
1,2.600,0.3030,0.1281,0.8736,-0.0744,-0.1079,0.0531,-0.9538,-1.0718,-0.1610
0,2.800,-0.1238,-0.1651,0.9737,0.1920,-0.1742,-0.2319,0.2314,0.2152,-2.1718
1,2.800,0.2943,0.1014,0.8685,-0.0276,-0.1374,-0.1162,-0.8489,-0.5476,-1.0500
0,3.000,-0.0960,-0.1949,0.8864,0.0967,-0.1057,-0.5959,0.1211,0.9084,-1.6582
1,3.000,0.2880,0.0786,0.8243,-0.0420,-0.0872,-0.3028,-0.9529,-0.2523,-0.8411
0,3.200,-0.0846,-0.1950,0.7578,0.0203,0.0939,-0.5609,0.4143,1.5919,-0.0921
1,3.200,0.2740,0.0712,0.7501,-0.0975,0.0115,-0.4100,-1.2620,-0.0316,-0.2071
0,3.400,-0.0926,-0.1627,0.6694,-0.0816,0.2062,-0.3348,0.2907,0.8273,1.3555
1,3.400,0.2446,0.0898,0.6713,-0.1909,0.1631,-0.3517,-1.2980,0.1282,0.6884
0,3.600,-0.1146,-0.1172,0.6330,-0.1270,0.2316,-0.0523,0.2374,0.2357,1.3910
1,3.600,0.1965,0.1364,0.6260,-0.2828,0.2846,-0.0865,-0.9349,-0.1013,1.8418
0,3.800,-0.1415,-0.0743,0.6501,-0.1333,0.1923,0.1950,0.5584,0.0747,1.1659
1,3.800,0.1348,0.1954,0.6525,-0.3096,0.2751,0.3190,-0.4562,-1.1696,1.9647
0,4.000,-0.1640,-0.0436,0.7120,-0.0799,0.1113,0.3911,1.0425,0.1160,0.6808
1,4.000,0.0848,0.2351,0.7477,-0.1758,0.1206,0.5547,-0.0333,-2.0428,0.2552
0,4.200,-0.1661,-0.0349,0.7938,0.0582,-0.0203,0.3843,1.2134,-0.3821,-0.6221
1,4.200,0.0722,0.2395,0.8463,0.0303,-0.0560,0.3911,0.4012,-1.5250,-1.4783
0,4.400,-0.1319,-0.0593,0.8434,0.2713,-0.2037,0.0693,1.2756,-0.2506,-2.5434
1,4.400,0.0953,0.2150,0.8854,0.1646,-0.1563,0.0183,-0.2119,-0.6425,-1.8254
0,4.600,-0.0704,-0.1026,0.8008,0.2962,-0.1939,-0.4329,0.1411,1.1353,-2.1024
1,4.600,0.1318,0.1840,0.8525,0.1839,-0.1440,-0.3178,-0.6385,-0.3160,-1.7086
0,4.800,-0.0248,-0.1306,0.7007,0.1473,-0.0847,-0.4368,-0.3098,1.8556,0.9061
1,4.800,0.1669,0.1572,0.7607,0.1624,-0.1112,-0.5413,-1.2305,-0.5306,-0.7863
0,5.000,-0.0218,-0.1282,0.6440,-0.0599,0.0618,-0.1319,-0.2385,0.3922,1.6574
1,5.000,0.1637,0.1612,0.6716,-0.1711,0.1142,-0.3287,-2.3731,-0.3589,1.6304
0,5.200,-0.0355,-0.1185,0.6411,-0.0879,0.0494,0.0585,-0.2409,0.4721,1.1258
1,5.200,0.1044,0.1924,0.6589,-0.3359,0.1501,0.1881,-0.4712,-1.8231,2.7269
0,5.400,-0.0596,-0.1066,0.6837,-0.1288,0.0495,0.3655,0.6497,0.1838,1.9299
1,5.400,0.0497,0.2115,0.7406,-0.1971,0.0653,0.5395,0.5000,-2.0324,0.9820
0,5.600,-0.0721,-0.1012,0.7862,0.0659,-0.0198,0.5695,3.0444,1.2370,-0.4276
1,5.600,0.0345,0.2146,0.8459,0.0749,-0.0274,0.4468,1.2279,-2.6664,-1.5375
0,5.800,-0.0272,-0.1151,0.8717,0.3225,-0.0930,0.2574,1.6401,1.2180,-2.6092
