0.0000,0.12,1.20,0.10,0.0
0.2000,0.12,1.17,0.10,0.0
0.4000,0.10,1.09,0.10,0.0
0.6000,0.06,0.98,0.10,0.0
0.8000,-0.00,0.85,0.10,0.0
1.0000,-0.08,0.74,0.10,0.0
1.2000,-0.18,0.67,0.10,0.0
1.4000,-0.30,0.63,0.10,0.0
1.6000,-0.47,0.65,0.10,0.0
1.8000,-0.67,0.69,0.10,0.0
2.0000,-0.85,0.78,0.10,0.0
2.2000,-0.94,0.84,0.10,0.0
2.4000,-0.92,0.86,0.10,0.0
2.6000,-0.82,0.87,0.10,0.0
2.8000,-0.68,0.86,0.10,0.0
3.0000,-0.48,0.82,0.10,0.0
3.2000,-0.25,0.76,0.10,0.0
3.4000,-0.02,0.69,0.10,0.0
3.6000,0.17,0.64,0.10,0.0
3.8000,0.30,0.61,0.10,0.0
4.0000,0.35,0.61,0.10,0.0
4.2000,0.33,0.64,0.25,0.0
4.4000,0.24,0.69,0.41,0.0
4.6000,0.11,0.75,0.51,0.0
4.8000,-0.04,0.81,0.53,0.0
5.0000,-0.19,0.83,0.47,0.0
5.2000,-0.29,0.78,0.35,0.0
5.4000,-0.32,0.68,0.19,0.0
5.6000,-0.26,0.59,0.10,0.0
5.8000,-0.14,0.54,0.10,0.0
6.0000,0.01,0.56,0.10,0.0
6.2000,0.14,0.67,0.10,0.0
6.4000,0.20,0.84,0.10,0.0
6.6000,0.18,1.00,0.10,0.0
6.8000,0.10,1.11,0.10,0.0
7.0000,-0.02,1.13,0.10,0.0
7.2000,-0.13,1.05,0.10,0.0
7.4000,-0.21,0.90,0.10,0.0
7.6000,-0.23,0.70,0.10,0.0
7.8000,-0.22,0.50,0.10,0.0
8.0000,-0.19,0.31,0.10,0.0
8.2000,-0.16,0.17,0.10,0.0
8.4000,-0.12,0.11,0.10,0.0
8.6000,-0.06,0.15,0.10,0.0
8.8000,-0.03,0.29,0.10,0.0
9.0000,-0.04,0.50,0.10,0.0
9.2000,-0.04,0.74,0.10,0.0
9.4000,-0.03,0.92,0.10,0.0
9.6000,-0.04,1.01,0.32,0.0
9.8000,-0.06,0.98,0.62,0.0
10.0000,-0.08,0.84,0.89,0.0
10.2000,-0.11,0.63,1.10,0.0
10.4000,-0.14,0.36,1.20,0.0
10.6000,-0.20,0.09,1.20,0.0
10.8000,-0.28,-0.13,1.20,0.0
11.0000,-0.36,-0.28,1.17,0.0
11.2000,-0.44,-0.32,0.97,0.0
11.4000,-0.51,-0.25,0.76,0.0
11.6000,-0.55,-0.06,0.55,0.0
11.8000,-0.55,0.19,0.39,0.0
12.0000,-0.52,0.45,0.27,0.0
