condition,segment_idx,start_s,end_s,dominant_anchor,phrase_index,section_index,section_role,motion_mode,height_level,speed_level,vertical_trend,transition_style,weight_happy,weight_sad,weight_sleepy,weight_brave,weight_grumpy,weight_scared,weight_shy,mean_speed,max_speed,mean_accel,mean_jerk,mean_altitude,altitude_range,swarm_spread,min_pairwise_dist,boundary_margin,centroid_path_length,heading_change,formation_change,z_mean_speed,z_max_speed,z_mean_accel,z_mean_jerk,z_mean_altitude,z_altitude_range,z_swarm_spread,z_min_pairwise_dist,z_boundary_margin,z_centroid_path_length,z_heading_change,z_formation_change
carmen.mp3,0,1.5789569160997732,5.270929705215419,scared,0,,buildup,advance,0.3,0.5,rise,smooth,0.17747871765531315,0.05336579625753121,0.008821734345334686,0.06918167865080592,0.08487853689699729,0.6030924399961376,0.0031810961978799386,0.7739589974403842,2.0938500065668504,2.6043109618380513,14.255584392157628,0.7595599999999999,0.4287000000000001,0.8439875652315689,0.5066766227091991,-0.10860000000000003,1.6544181071827082,0.5264029674326516,0.25881373328830287,-0.6723575931186636,0.7965199175244938,0.031073120365349413,0.346792042194784,-0.9879170638964303,-1.6978662538491642,1.1990688510376042,-1.0585959087611476,0.023194633895752416,-1.9451862009964678,0.16392158804009738,-0.3086876558405299
carmen.mp3,1,5.270929705215419,8.893242630385487,happy,1,,peak,advance,0.5,0.7,hold,surge,0.4257540483361148,0.021608906991974666,0.007289025497582624,0.24980988306226018,0.06811740911195692,0.22076226533030793,0.0066584616698027645,0.7623182892117237,1.9860145165632601,2.100424360826355,10.976833742030884,0.8394344444444444,0.546,0.7657736798841138,0.5170941693734323,-0.13680000000000003,1.4916817918346845,0.5867140754260651,0.34496200160392476,-0.7817661297400447,0.414069602750805,-1.179893897404191,-0.9559739326349108,2.0392060314232032,0.7027000702156825,0.1728693505920883,-0.9431456924241565,-0.35682167426248473,-2.241672696949843,1.2022790499111866,0.6349860739259103
carmen.mp3,2,8.893242630385487,12.515555555555556,brave,2,,release,retreat,0.4,0.4,fall,drift,0.2099544888473714,0.00831431681398615,0.007075400890384833,0.38307844148577996,0.07596928327646796,0.3121848557890538,0.0034232128969557078,0.8523895869587584,2.3100515730173647,2.3115650223078816,10.601091381942084,0.7862155555555556,0.5398,0.7002553378264189,0.5412668657880325,-0.24629999999999996,2.586985185256146,0.4957531133653757,0.3883749112081349,0.06479480835038222,1.5633023297044806,-0.6724694557722583,-1.1052699341490773,0.0222889964026259,0.5758159166845462,-0.6867592126859361,-0.6752569926695859,-1.8324169133875534,-0.24615826965754478,-0.3637673524365303,1.1105339070654574
carmen.mp3,3,12.515555555555556,16.253968253968253,scared,3,,buildup,advance,0.5,0.6,rise,smooth,0.18239303617416264,0.019294382637404878,0.003723703851583969,0.19045445539599118,0.15799748772258188,0.44038640904405274,0.005750525174222481,0.7523489153087993,1.7850032633023392,2.3795624673386957,13.36228881046441,0.7922842105263155,0.5210000000000001,0.7665105265245842,0.6877158570223607,-0.015099999999999891,2.5084809592977035,0.5121516571936637,0.2540040367356238,-0.8754661511068597,-0.29883870860507006,-0.5090543876605309,-0.008146534561773666,0.2522820279321415,0.19107041888046533,0.1825370924642192,0.9477323987181594,1.283177783285654,-0.3891837696645611,-0.08143875801272162,-0.3613733844530042
carmen.mp3,4,16.253968253968253,19.922721088435374,scared,4,,peak,advance,0.6,0.7,hold,surge,0.15605867080998784,0.017155817377968386,0.0030064673232394323,0.08925445281105408,0.12573071339890887,0.6060643731845878,0.0027295050942534515,0.8852652859653188,2.031921716011717,2.826920804218091,13.878779721519502,0.8269133333333334,0.5519999999999999,0.869664313252398,0.5634652606860516,-0.04169999999999985,2.3613698860062518,0.5835432961256695,0.5154354673747952,0.3737864992388211,0.5768844875244203,0.5660609061327403,0.1970739463568816,1.564674472710827,0.8254911865361328,1.5359587251946814,-0.42924806408861643,0.9247226841009344,-0.6572029056689969,1.1476887355221392,2.502363496775824
carmen.mp3,5,19.922721088435374,23.56825396825397,scared,5,,release,retreat,0.4,0.5,fall,drift,0.2936512274185128,0.01711566632817807,0.007306023227329038,0.08154130621123656,0.06728199597287093,0.5248686626892705,0.008235118152601893,0.851050863648249,2.1684888194316336,2.860702068782223,11.798066827441495,0.80009,0.5538000000000001,0.840461180647899,0.5568806155721351,-0.13450000000000006,2.0860349610841658,0.5976303645818987,0.47361037896165337,0.05221243316609993,1.0612345998013621,0.6472458337009193,-0.6296683866379941,0.5481098832285634,0.8623285214322715,1.1528011828088118,-0.5022209748329458,-0.32582743636305445,-1.1588308731522015,1.3902213822281468,2.0442087601531793
carmen.mp3,6,23.56825396825397,27.213786848072562,scared,6,,buildup,advance,0.3,0.5,rise,smooth,0.21709316805337228,0.036364004063202525,0.014746324184090115,0.1972799374511249,0.05508749719206096,0.46983018744394656,0.009598881612202464,0.7587079867843697,1.7363924383617892,2.528794166366753,13.311371965002973,0.7865663157894737,0.5196999999999999,0.7950155150459042,0.656735951505626,-0.058599999999999985,2.142260834455601,0.5676491525563668,0.3365775626378895,-0.8156985930900758,-0.47124229576643056,-0.15041284973145808,-0.028377635029952757,0.03558228955037044,0.16446567701103004,0.5565346870196664,0.6044042707735727,0.6969824143181592,-1.0563939208212818,0.8740442424208332,0.5431423846007845
carmen.mp3,7,27.213786848072562,30.998639455782314,scared,7,,peak,advance,0.5,0.6,hold,surge,0.19239071791242954,0.021712190383681038,0.004108594247502247,0.08449640911343087,0.07950963494479077,0.6136400330272518,0.004142420370913613,1.039705487025979,2.1636237403948035,3.1446359310708414,14.459977267495589,0.7831966666666665,0.5647000000000001,0.8592939644488735,0.6088992363273255,-0.11099999999999999,3.0411248817783068,0.556162675790691,0.3694314316932952,1.8253370459621348,1.0439800669108212,1.3296107582079206,0.42800470881754454,-0.09212241943033118,1.0853990494144274,1.3998953303850938,0.07426418173060902,-0.009147179564522512,0.5812310380531139,0.6762851685608252,0.9030258013536995
carmen.mp3,8,30.998639455782314,34.78349206349206,scared,8,,buildup,advance,0.3,0.5,rise,smooth,0.18985822391491416,0.10565079177375977,0.018104298505665514,0.2119138408030719,0.09322214332734141,0.348098981369777,0.03315172030547003,1.0210243497377973,1.9261223066046453,2.7362701272813266,13.207165344743444,0.8124105263157897,0.5834000000000001,0.7606534294485512,0.6379043188441351,-0.18320000000000003,3.4953269057335006,0.48118052194684363,0.30228323838942484,1.6497570165537125,0.2016553544323576,0.3482043890344504,-0.06978268643905117,1.0150395754026469,1.4680980286131722,0.1056894832860681,0.3957067592747943,-0.9820967344944777,1.408733899042782,-0.6146590959588655,0.16748012805023954
carmen.mp3,9,34.78349206349206,38.684444444444445,scared,9,,peak,advance,0.5,0.6,hold,surge,0.17179160574497648,0.056531944499179,0.010271810389097778,0.14378767122705535,0.12766451882238256,0.46859235534117155,0.021360093976137168,0.9676323377820079,2.0750618810049977,2.5862040591565245,13.585868203643097,0.7658510000000001,0.5324,0.7385837820281843,0.5790909255030681,-0.2158,3.358204968415703,0.48768984535555365,0.31469838492556673,1.1479368711976246,0.729885783113838,-0.012442348982847927,0.08068962810738332,-0.7494974852050027,0.4243735398893222,-0.18387369411112878,-0.2560800004669268,-1.421406367329886,1.1589137981836168,-0.502590113012899,0.3034764500475025
